BodyFat,Sex,Age,Weight,Height,Neck,Chest,Abdomen,Hip,Thigh,Knee,Ankle,Biceps,Forearm,Wrist
19.44,0,46,75.58,1.84,36.77,96.76,85.03,96.09,55.81,37.51,21.53,27.93,26.04,17.54
30.74,0,49,93.26,1.83,38.59,109.94,101.39,106.54,62.04,43.41,24.44,32.59,28.13,18.57
22.73,1,38,76.17,1.78,36.66,95.0,90.07,98.47,59.9,38.14,22.71,30.91,28.14,17.09
25.99,0,31,71.0,1.68,34.12,92.37,84.36,100.35,57.14,38.6,22.73,29.59,27.36,18.33
17.96,0,19,59.65,1.72,32.05,83.56,65.27,96.25,49.29,34.03,21.01,24.57,22.55,14.53
10.53,1,31,79.9,1.84,37.71,99.89,84.67,96.2,58.34,38.48,24.09,31.73,28.29,18.07
10.6,1,57,67.02,1.67,35.2,99.6,86.4,90.1,53.0,35.0,21.3,31.7,27.3,16.9
14.27,1,62,63.11,1.7,36.03,92.53,79.4,89.83,52.7,35.5,21.46,29.07,26.26,17.03
19.12,0,58,67.21,1.71,35.67,91.16,80.8,95.21,54.7,36.93,21.44,29.1,26.75,18.1
18.8,1,66,77.68,1.76,37.4,102.7,98.6,100.2,56.5,39.3,22.7,30.3,28.7,19.0
17.06,0,19,58.69,1.69,31.8,83.72,65.5,95.9,49.77,34.1,20.86,24.8,22.66,14.7
14.23,1,36,88.36,1.87,38.54,101.02,97.22,104.61,63.12,40.13,24.8,33.18,28.73,18.64
32.55,0,18,72.82,1.71,32.72,83.44,92.97,104.56,51.63,38.63,21.36,28.97,24.95,17.04
25.38,1,44,77.9,1.77,36.97,99.47,89.09,99.05,56.38,37.31,23.02,34.13,29.67,18.31
21.12,1,33,82.74,1.78,38.33,102.19,92.55,103.82,63.15,38.28,21.63,32.62,28.6,17.72
12.94,1,32,88.82,1.87,37.84,99.75,90.4,104.69,64.41,38.67,24.38,34.72,29.21,18.39
33.86,0,44,155.86,1.83,49.6,131.84,141.42,143.38,84.23,47.83,28.87,43.46,28.58,21.0
34.3,1,35,103.53,1.77,40.4,114.9,115.9,111.9,74.4,40.6,24.0,36.1,31.8,18.8
37.15,0,38,105.61,1.89,40.69,112.47,109.9,111.63,66.72,44.15,25.06,36.02,30.25,19.34
19.64,0,19,62.19,1.63,33.13,89.82,72.56,95.65,52.62,37.06,22.02,28.12,25.06,16.56
14.9,0,31,60.76,1.72,33.67,89.14,73.0,93.53,51.6,34.25,21.26,27.12,24.44,16.33
24.9,0,22,70.56,1.73,32.21,88.7,78.86,98.96,52.98,37.71,20.68,32.25,25.25,16.15
16.67,0,20,53.14,1.67,30.21,82.29,62.07,93.86,47.07,34.14,21.46,24.17,23.19,15.57
21.1,1,41,98.27,1.8,39.67,111.2,99.98,107.98,66.75,44.0,25.1,37.34,31.36,18.68
16.33,0,45,58.31,1.69,31.99,88.78,73.01,90.7,49.0,35.06,20.44,26.39,24.39,16.16
29.54,0,24,62.46,1.58,31.92,88.47,70.41,94.76,51.1,35.02,22.05,27.4,23.71,16.02
15.74,0,48,73.47,1.73,35.99,98.05,86.0,96.98,56.13,38.01,22.39,31.95,27.97,18.06
21.3,1,41,99.11,1.8,39.8,111.7,100.5,108.3,67.1,44.2,25.2,37.5,31.5,18.7
18.27,0,38,68.74,1.68,35.45,96.36,81.92,97.61,57.13,36.0,21.65,32.2,27.75,17.01
22.71,1,37,82.7,1.77,38.49,101.19,94.17,101.06,63.53,39.49,22.81,34.83,29.79,17.99
16.57,0,25,61.2,1.64,31.98,84.78,71.92,96.9,54.88,36.31,21.36,26.63,23.52,14.85
16.98,0,62,57.48,1.67,34.49,92.35,78.89,87.97,50.49,33.38,20.16,28.28,24.69,16.43
17.7,0,20,56.82,1.7,30.74,85.43,70.6,93.2,49.34,26.63,21.37,25.13,22.63,15.13
11.13,0,31,51.38,1.58,30.99,82.39,68.07,91.29,48.21,33.74,19.72,26.13,23.49,15.24
35.51,0,22,76.49,1.63,34.97,90.96,84.36,109.67,59.4,36.68,22.18,28.81,25.19,16.1
18.36,0,22,59.66,1.66,31.98,86.6,68.25,99.8,50.75,36.4,21.23,27.2,24.02,16.13
16.33,1,30,96.1,1.86,39.64,105.36,98.13,108.32,65.38,41.6,25.03,33.79,30.79,19.27
20.34,0,48,95.29,1.9,40.53,104.05,105.41,107.29,66.0,42.24,24.38,35.22,29.63,18.63
23.34,0,21,61.59,1.67,30.58,83.15,67.89,100.43,53.19,37.54,22.41,27.92,24.0,15.41
17.03,1,39,75.05,1.76,36.26,94.19,86.21,99.04,58.6,37.89,23.73,30.12,27.8,17.76
27.47,1,38,104.41,1.82,41.26,115.62,105.61,111.25,67.47,41.9,24.74,33.93,29.31,18.32
21.24,0,55,67.63,1.75,34.56,90.63,84.02,99.38,53.29,37.08,21.92,28.33,25.35,17.14
21.34,1,36,76.19,1.74,38.59,99.46,90.76,96.23,55.93,34.9,22.05,30.35,28.66,17.84
30.13,1,65,105.03,1.82,41.22,119.14,108.34,108.54,63.48,42.29,24.55,35.37,30.62,19.45
16.78,0,38,73.79,1.74,37.57,96.34,85.28,99.02,56.91,37.25,22.25,31.3,27.33,17.65
15.93,1,45,83.04,1.83,38.27,100.01,91.69,101.19,60.61,40.68,23.26,31.07,27.27,18.78
25.18,0,25,67.15,1.65,32.28,90.03,75.67,102.51,55.13,37.21,21.27,28.88,25.44,15.46
28.41,0,60,90.59,1.76,39.01,108.1,100.8,107.68,61.42,42.63,22.95,35.4,31.07,18.42
21.05,1,77,74.32,1.78,38.03,97.08,95.3,99.57,54.07,37.59,21.76,31.61,27.07,18.33
10.66,0,20,50.0,1.62,30.26,79.45,65.58,88.75,47.31,34.39,20.03,22.45,21.25,15.27
